on x=-26..26,y=-40..10,z=-12..42
on x=-8..45,y=-39..12,z=-3..48
on x=-32..16,y=-17..29,z=-46..5
on x=-37..13,y=-18..29,z=-29..24
on x=-6..40,y=-14..32,z=-30..15
on x=-19..32,y=-1..45,z=-46..5
on x=-43..5,y=-15..34,z=-29..15
on x=-8..44,y=-30..20,z=-19..29
on x=0..49,y=-19..28,z=-10..37
on x=2..47,y=-29..25,z=-31..22
off x=-27..-9,y=7..23,z=-21..-12
on x=-21..27,y=-17..35,z=-25..27
off x=-7..2,y=-7..11,z=30..45
on x=-47..-3,y=-45..0,z=-40..9
off x=-45..-27,y=5..19,z=6..17
on x=-12..38,y=4..49,z=-23..26
off x=-1..18,y=-5..5,z=23..41
on x=-49..-3,y=-38..11,z=-2..47
off x=-42..-28,y=26..36,z=-16..2
on x=-25..27,y=-32..19,z=-29..25
on x=-13519..23757,y=-74578..-63294,z=28613..42331
on x=-73883..-62685,y=25486..36572,z=29381..36985
on x=34666..50755,y=39751..58608,z=-64293..-48481
on x=25323..32697,y=-27159..-7771,z=-76638..-55113
on x=-24870..-4475,y=74100..80623,z=-20353..-4874
on x=-4372..10486,y=-77039..-59174,z=45466..66326
on x=8338..34031,y=56264..66755,z=42418..65522
on x=54927..76019,y=20218..43744,z=-25434..-5284
on x=-10216..-3803,y=-78013..-46248,z=43661..64676
on x=-16197..8130,y=-86568..-70560,z=-32171..-18366
on x=3686..14825,y=36366..56596,z=64859..86585
on x=15267..36496,y=-36221..-16245,z=-83648..-54644
on x=18857..35557,y=-42236..-10692,z=64926..86659
on x=-35346..-21700,y=-70946..-53033,z=-64398..-44682
on x=24876..54140,y=-63509..-44757,z=-50694..-42584
on x=13497..33559,y=-32529..-26587,z=-76777..-64069
on x=20864..35840,y=-73622..-49591,z=31178..56962
on x=56411..83939,y=33438..51234,z=-33279..-2361
on x=628..9508,y=-4233..29197,z=76576..81569
on x=-26696..2126,y=-53972..-42314,z=-76998..-51018
on x=-72946..-68388,y=12200..33446,z=22310..35870
on x=-47225..-26296,y=-73984..-51888,z=-15363..6512
on x=-20965..-7917,y=-84727..-60725,z=-32120..-15589
on x=-62661..-32698,y=-24126..-10011,z=42978..67870
on x=39267..72031,y=-61785..-47360,z=524..27273
on x=-6412..32239,y=47133..67782,z=-67141..-45882
on x=21338..41800,y=-92024..-59673,z=5827..33231
on x=20483..41277,y=-32580..-12168,z=60513..76175
on x=-79227..-56314,y=-28586..-4072,z=-49415..-16693
on x=-41738..-23211,y=3200..21233,z=-91936..-57956
on x=13414..35398,y=65132..74486,z=22194..28323
on x=-69860..-60785,y=20666..42875,z=26414..49975
on x=-69213..-58197,y=-20455..-1639,z=41438..63419
on x=34471..48719,y=55773..61442,z=41135..53326
on x=-20628..13679,y=-23014..-7671,z=61056..93020
on x=-93588..-73321,y=7679..27991,z=-8516..12731
on x=-86126..-55180,y=22505..34683,z=18737..38994
on x=12878..34741,y=-31053..-17055,z=57651..92140
on x=44021..54879,y=-50088..-12146,z=47263..55368
on x=-44454..-27516,y=67984..87845,z=7142..22662
on x=-59315..-33129,y=-2540..11872,z=57915..73149
on x=44566..71491,y=23377..49196,z=-54876..-18335
on x=39713..47849,y=48490..72788,z=-47712..-11916
on x=-13060..-4111,y=57727..93672,z=8513..22413
on x=23260..50240,y=17804..20873,z=48186..65039
on x=-10510..22914,y=35508..45000,z=60081..88614
on x=-66399..-36020,y=-56468..-48151,z=-36076..-19560
on x=-74315..-58239,y=-8624..21398,z=-48310..-37982
on x=37225..52978,y=-64801..-43756,z=-62507..-50179
on x=-25353..-10516,y=-3431..8888,z=-77211..-73854
on x=-57431..-27265,y=-47055..-32580,z=-66155..-51567
on x=-44254..-21847,y=1606..17576,z=53954..83742
on x=2047..20168,y=-10271..10650,z=-91449..-76503
on x=21683..47779,y=24890..40463,z=-69570..-56376
on x=28619..33887,y=-78408..-61584,z=29423..36478
on x=-25486..-3491,y=-7016..10326,z=67097..80046
on x=64191..85687,y=32349..45622,z=-4823..22661
on x=-21397..-2651,y=3855..32663,z=58414..94759
on x=23469..55992,y=-25300..7495,z=62405..78295
on x=49750..86123,y=-3091..12051,z=34774..53219
on x=60658..80413,y=-3260..18135,z=-49987..-30199
on x=-94219..-58278,y=-11510..13920,z=-39438..-7083
on x=-43150..-23316,y=55646..89037,z=-37058..-11591
on x=57069..81390,y=-28842..-3424,z=-37243..-10887
on x=-7876..-2961,y=-47236..-25662,z=-87109..-67102
on x=32897..44014,y=7361..25398,z=57379..83590
on x=-38635..-6599,y=-32595..-24530,z=69582..73343
on x=44680..66891,y=-55384..-47217,z=32347..51868
on x=-11124..14063,y=20776..48879,z=-90258..-69305
on x=22643..48759,y=-69794..-54977,z=-17345..5242
on x=54406..70867,y=24988..50088,z=-34379..-7153
on x=-45897..-28510,y=41646..67119,z=-52039..-27756
on x=-22485..-11585,y=-79530..-54983,z=-46867..-26838
on x=14366..28137,y=2717..18944,z=-81773..-72876
on x=-16710..6059,y=59336..88106,z=-49887..-18114
